Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
WWD,"Woodward, Inc.",Stock,22587260447,18.93%,10.69%,303.62%,216.72%,25.93%,22.91%
DRI,"Darden Restaurants, Inc.",Stock,22514145540,31.09%,11.07%,41.62%,60.42%,9.91%,14.99%
LEN.B,Lennar Corporation,Stock,21906951008,17.98%,28.99%,11.68%,20.69%,3.83%,11.18%
WSM,"Williams-Sonoma, Inc.",Stock,21734710868,20.80%,14.46%,227.27%,119.48%,17.03%,23.55%
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Stock,21263940044,51.03%,23.72%,243.56%,371.72%,36.38%,19.81%
BWXT,"BWX Technologies, Inc.",Stock,19786342482,5.51%,13.02%,255.65%,237.54%,27.55%,22.17%
SNA,Snap-on Incorporated,Stock,19014218829,13.94%,14.52%,72.49%,77.81%,12.20%,11.73%
BR,"Broadridge Financial Solutions, Inc.",Stock,18969331213,10.93%,12.52%,21.26%,11.52%,2.20%,12.66%
DKS,"DICK'S Sporting Goods, Inc.",Stock,17778699743,30.33%,24.11%,53.52%,188.64%,23.62%,19.20%
ITT,ITT Inc.,Stock,17353053589,14.63%,11.63%,145.81%,121.22%,17.21%,19.76%
LII,Lennox International Inc.,Stock,15908665002,11.04%,13.70%,98.41%,48.99%,8.30%,14.06%
RS,"Reliance, Inc.",Stock,15644428474,13.61%,11.73%,31.49%,111.63%,16.18%,18.44%
SGI,Somnigroup International Inc.,Stock,15643032207,34.66%,24.37%,108.67%,108.56%,15.84%,17.98%
WF,Woori Financial Group Inc.,Stock,16057503730,14.54%,10.37%,191.90%,200.97%,24.65%,14.54%
WLK,Westlake Corporation,Stock,15309819560,14.39%,11.29%,10.40%,43.18%,7.44%,12.12%
EWBC,"East West Bancorp, Inc.",Stock,15131613116,16.53%,12.51%,134.46%,67.70%,10.89%,15.66%
J,Jacobs Solutions Inc.,Stock,15037877133,10.53%,24.29%,41.55%,21.64%,4.00%,14.74%
NDSN,Nordson Corporation,Stock,14683916502,15.74%,12.93%,29.16%,37.62%,6.59%,14.63%
WSO,"Watsco, Inc.",Stock,15389019411,11.07%,14.78%,33.21%,60.68%,9.95%,14.60%
WSO.B,"Watsco, Inc.",Stock,13974033932,11.07%,14.78%,31.80%,79.57%,12.42%,14.81%
GGG,Graco Inc.,Stock,14014230813,9.47%,10.50%,26.22%,22.05%,4.07%,13.33%
NYT,The New York Times Company,Stock,13785609293,25.23%,17.01%,126.62%,79.07%,12.36%,22.27%
CSL,Carlisle Companies Incorporated,Stock,13521950405,15.41%,13.61%,65.70%,107.07%,15.67%,14.24%
COKE,"Coca-Cola Consolidated, Inc.",Stock,13177733283,58.49%,25.89%,284.98%,601.60%,47.64%,29.42%
EVR,Evercore Inc.,Stock,12863798496,6.26%,10.75%,181.92%,142.99%,19.43%,22.72%
FNF,"Fidelity National Financial, Inc.",Stock,12629588197,24.38%,17.49%,56.52%,46.76%,7.97%,11.54%
MLI,"Mueller Industries, Inc.",Stock,12505675934,38.61%,21.07%,248.59%,458.11%,41.04%,25.56%
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Stock,12493995506,42.84%,12.09%,46.48%,190.12%,23.74%,15.48%
TIMB,TIM S.A.,Stock,12425873981,24.01%,17.02%,158.59%,218.64%,26.08%,14.14%
ALLE,Allegion plc,Stock,12075873947,9.52%,17.35%,47.68%,15.85%,2.99%,9.35%
SCI,Service Corporation International,Stock,11458367733,10.53%,11.12%,23.48%,72.10%,11.47%,14.84%
SF,Stifel Financial Corp.,Stock,11322736348,29.12%,39.72%,108.41%,79.83%,12.45%,20.83%
AEG,Aegon Ltd.,Stock,11165383372,43.31%,11.71%,98.24%,89.63%,13.65%,8.03%
WMS,"Advanced Drainage Systems, Inc.",Stock,10961466721,13.63%,13.11%,83.76%,31.72%,5.66%,21.24%
AFG,"American Financial Group, Inc.",Stock,10820518407,11.93%,12.75%,27.75%,89.96%,13.69%,14.60%
TXRH,"Texas Roadhouse, Inc.",Stock,10764257676,47.47%,14.83%,57.23%,84.33%,13.01%,16.12%
RRC,Range Resources Corporation,Stock,10346986648,35.84%,10.21%,66.53%,348.94%,35.03%,3.93%
GIL,Gildan Activewear Inc.,Stock,8410814579,43.19%,13.00%,82.93%,90.15%,13.72%,7.97%
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Stock,10190823647,60.01%,30.38%,36.12%,136.93%,18.83%,12.60%
HMY,Harmony Gold Mining Company Limited,Stock,10057965758,22.06%,18.60%,263.32%,249.03%,28.40%,16.73%
PAG,"Penske Automotive Group, Inc.",Stock,9777571711,32.96%,18.05%,16.97%,103.80%,15.30%,18.29%
ORI,Old Republic International Corporation,Stock,9714095040,14.78%,17.34%,100.97%,167.63%,21.76%,16.56%
KNX,Knight-Swift Transportation Holdings Inc.,Stock,9704943522,16.83%,11.92%,13.00%,27.29%,4.94%,10.01%
WTS,"Watts Water Technologies, Inc.",Stock,9600231404,16.97%,11.67%,87.02%,147.97%,19.92%,19.14%
WTFC,Wintrust Financial Corporation,Stock,9440740146,11.68%,16.12%,111.06%,101.64%,15.06%,14.25%
TFII,TFI International Inc.,Stock,9425054953,16.96%,13.62%,6.48%,60.70%,9.95%,23.42%
OSK,Oshkosh Corporation,Stock,9272078788,10.24%,10.99%,103.87%,32.76%,5.83%,15.92%
BVN,Compañía de Minas Buenaventura S.A.A.,Stock,9212103666,43.02%,30.71%,351.32%,277.81%,30.45%,17.19%
BPOP,"Popular, Inc.",Stock,9108092409,13.02%,20.69%,173.25%,126.92%,17.81%,20.97%
DDS,"Dillard's, Inc.",Stock,8927030125,120.32%,60.77%,121.98%,673.32%,50.55%,25.30%
PPC,Pilgrim's Pride Corporation,Stock,8782129116,5.92%,11.81%,92.67%,80.19%,12.50%,6.64%
JEF,Jefferies Financial Group Inc.,Stock,8672981173,17.98%,20.40%,47.60%,68.17%,10.96%,14.29%
